iter	Passed	Remaining
443	1491	1867
444	1492	1861
445	1494	1856
446	1501	1857
447	1504	1854
448	1506	1848
449	1507	1842
450	1509	1837
451	1510	1831
452	1512	1825
453	1519	1827
454	1521	1822
455	1523	1817
456	1524	1811
457	1526	1806
458	1528	1801
459	1531	1798
460	1535	1794
461	1536	1789
462	1537	1783
463	1539	1778
464	1554	1788
465	1558	1785
466	1559	1780
467	1567	1781
468	1569	1776
469	1571	1772
470	1573	1767
471	1575	1762
472	1582	1762
473	1583	1757
474	1585	1752
475	1586	1746
476	1589	1743
477	1600	1747
478	1605	1746
479	1607	1741
480	1613	1740
481	1615	1736
482	1617	1731
483	1619	1727
484	1621	1721
485	1629	1723
486	1631	1719
487	1633	1713
488	1635	1708
489	1637	1704
490	1639	1699
491	1643	1696
492	1645	1692
493	1647	1687
494	1649	1682
495	1650	1677
496	1652	1672
497	1654	1667
498	1661	1668
499	1663	1663
500	1665	1658
501	1667	1654
502	1668	1649
503	1674	1647
504	1676	1643
505	1678	1638
506	1680	1633
507	1681	1628
508	1683	1623
509	1689	1623
510	1691	1618
511	1692	1613
512	1694	1608
513	1696	1604
514	1703	1603
515	1705	1599
516	1706	1594
517	1708	1589
518	1710	1584
519	1711	1580
520	1718	1579
521	1720	1575
522	1721	1570
523	1723	1565
524	1724	1560
525	1726	1555
526	1734	1556
527	1736	1552
528	1738	1547
529	1743	1546
530	1749	1545
531	1751	1540
532	1753	1536
533	1754	1531
534	1756	1526
535	1757	1521
536	1759	1517
537	1767	1517
538	1770	1514
539	1772	1510
540	1774	1505
541	1787	1510
542	1792	1508
543	1795	1505
544	1797	1500
545	1798	1495
546	1800	1491
547	1801	1486
548	1803	1481
549	1806	1478
550	1813	1477
551	1815	1473
552	1816	1468
553	1818	1464
554	1821	1460
555	1829	1460
556	1831	1456
557	1832	1451
558	1834	1447
559	1841	1446
560	1843	1442
561	1844	1437
562	1846	1433
563	1877	1451
564	1879	1446
565	1880	1442
566	1882	1437
567	1888	1436
568	1890	1432
569	1892	1427
570	1893	1422
571	1895	1418
572	1896	1413
573	1897	1408
574	1899	1403
575	1905	1402
576	1909	1399
577	1910	1395
578	1912	1390
579	1924	1393
580	1926	1389
581	1927	1384
582	1929	1379
583	1930	1375
584	1935	1373
585	1937	1368
586	1939	1364
587	1941	1360
588	1942	1355
589	1943	1350
590	1945	1346
591	1953	1346
592	1955	1342
593	1957	1337
594	1959	1333
595	1960	1329
596	1967	1328
597	1969	1324
598	1971	1319
599	1972	1315
600	1974	1310
601	1975	1306
602	1977	1301
603	1982	1299
604	1984	1295
605	1985	1291
606	1987	1286
607	1988	1282
608	1989	1277
609	1991	1273
610	1992	1268
611	1995	1264
612	1999	1262
613	2000	1257
614	2002	1253
615	2007	1251
616	2013	1250
617	2015	1245
618	2016	1241
619	2018	1237
620	2019	1232
621	2021	1228
622	2022	1223
623	2027	1221
624	2029	1217
625	2031	1213
626	2032	1209
627	2034	1204
628	2035	1200
629	2037	1196
630	2043	1194
631	2044	1190
632	2046	1186
633	2047	1182
634	2049	1177
635	2050	1173
636	2052	1169
637	2058	1167
638	2059	1163
639	2061	1159
640	2063	1155
641	2065	1151
642	2066	1147
643	2073	1146
644	2074	1141
645	2076	1137
646	2077	1133
647	2078	1129
648	2079	1124
649	2082	1121
650	2085	1118
651	2088	1114
652	2090	1110
653	2091	1106
654	2093	1102
655	2095	1098
656	2096	1094
657	2102	1092
658	2104	1088
659	2105	1084
660	2106	1080
661	2108	1076
662	2109	1072
663	2111	1068
664	2113	1064
665	2117	1062
666	2119	1057
667	2120	1053
668	2121	1049
669	2123	1045
670	2124	1041
671	2125	1037
672	2127	1033
673	2133	1032
674	2135	1028
675	2136	1024
676	2138	1020
677	2139	1016
678	2141	1012
679	2142	1008
680	2149	1006
681	2151	1002
682	2153	999
683	2155	995
684	2156	991
685	2158	988
686	2166	986
687	2167	983
688	2169	979
689	2170	975
690	2172	971
691	2178	969
692	2180	965
693	2181	961
694	2183	958
695	2184	954
696	2186	950
697	2188	946
698	2192	944
699	2193	940
700	2195	936
701	2196	932
702	2198	928
703	2200	925
704	2207	923
705	2209	920
706	2211	916
707	2212	912
708	2214	908
709	2220	907
710	2222	903
711	2223	899
712	2225	895
713	2226	891
714	2228	888
715	2229	884
716	2237	883
717	2238	879
718	2240	875
719	2241	871
720	2244	868
721	2246	864
722	2254	863
723	2256	860
724	2257	856
725	2259	852
726	2260	848
727	2261	845
728	2267	842
729	2269	839
730	2270	835
731	2272	831
732	2273	828
733	2274	824
734	2276	820
735	2301	825
736	2315	826
737	2316	822
738	2318	818
739	2319	815
740	2322	811
741	2326	808
742	2327	805
743	2328	801
744	2330	797
745	2331	793
746	2333	790
747	2334	786
748	2341	784
749	2345	781
750	2348	778
751	2374	783
752	2376	779
753	2377	775
754	2378	771
755	2380	768
756	2382	764
757	2383	761
758	2389	758
759	2391	755
760	2393	751
761	2394	747
762	2396	744
763	2399	741
764	2405	738
765	2407	735
766	2409	731
767	2410	728
768	2412	724
769	2457	734
770	2460	730
771	2462	727
772	2464	723
773	2466	720
774	2468	716
775	2469	712
776	2471	709
777	2472	705
778	2474	701
779	2475	698
780	2479	695
781	2481	691
782	2483	688
783	2484	684
784	2485	680
785	2487	677
786	2488	673
787	2529	680
788	2531	676
789	2532	673
790	2533	669
791	2535	665
792	2536	662
793	2538	658
794	2544	656
795	2547	652
796	2548	649
797	2550	645
798	2551	641
799	2553	638
800	2554	634
801	2559	631
802	2560	628
803	2565	625
804	2566	621
805	2569	618
806	2575	616
807	2577	612
808	2580	609
809	2581	605
810	2582	601
811	2584	598
812	2587	595
813	2590	591
814	2591	588
815	2593	584
816	2595	581
817	2596	577
818	2597	574
819	2599	570
820	2602	567
821	2606	564
822	2607	560
823	2609	557
824	2612	554
825	2614	550
826	2620	548
827	2626	545
828	2628	542
829	2629	538
830	2642	537
831	2644	533
832	2645	530
833	2646	526
834	2653	524
835	2655	521
836	2658	517
837	2659	514
838	2662	510
839	2671	508
840	2672	505
841	2674	501
842	2676	498
843	2677	494
844	2679	491
845	2684	488
846	2686	485
847	2687	481
848	2688	478
849	2690	474
850	2691	471
851	2693	467
852	2699	465
853	2700	461
854	2704	458
855	2706	455
856	2707	451
857	2709	448
858	2712	445
859	2714	441
860	2715	438
861	2717	435
862	2718	431
863	2720	428
864	2738	427
865	2741	424
866	2743	420
867	2745	417
868	2746	414
869	2748	410
870	2753	407
871	2757	404
872	2758	401
873	2760	397
874	2761	394
875	2763	391
876	2764	387
877	2769	384
878	2774	381
879	2779	379
880	2782	375
881	2784	372
882	2785	369
883	2787	365
884	2788	362
885	2790	359
886	2796	356
887	2800	353
888	2801	349
889	2803	346
890	2805	343
891	2809	340
892	2818	337
893	2820	334
894	2827	331
895	2828	328
896	2830	325
897	2832	321
898	2835	318
899	2845	316
900	2847	312
901	2848	309
902	2850	306
903	2851	302
904	2858	300
905	2860	296
906	2861	293
907	2863	290
908	2874	287
909	2875	284
910	2878	281
911	2880	277
912	2881	274
913	2883	271
914	2889	268
915	2891	265
916	2893	261
917	2894	258
918	2896	255
919	2897	251
920	2899	248
921	2901	245
922	2905	242
923	2907	239
924	2908	235
925	2909	232
926	2911	229
927	2913	226
928	2930	223
929	2937	221
930	2939	217
931	2941	214
932	2942	211
933	2944	208
934	2945	204
935	2950	201
936	2952	198
937	2954	195
938	2955	192
939	2957	188
940	2958	185
941	2960	182
942	2961	179
943	3006	178
944	3008	175
945	3010	171
946	3015	168
947	3022	165
948	3023	162
949	3025	159
950	3030	156
951	3033	152
952	3035	149
953	3048	146
954	3049	143
955	3051	140
956	3052	137
957	3054	133
958	3056	130
959	3060	127
960	3064	124
961	3066	121
962	3067	117
963	3068	114
964	3070	111
965	3071	108
966	3073	104
967	3078	101
968	3080	98
969	3083	95
970	3085	92
971	3087	88
972	3088	85
973	3101	82
974	3103	79
975	3104	76
976	3110	73
977	3112	70
978	3114	66
979	3115	63
980	3118	60
981	3119	57
982	3131	54
983	3133	50
984	3161	48
985	3163	44
986	3164	41
987	3166	38
988	3167	35
989	3172	32
990	3178	28
991	3180	25
992	3182	22
993	3183	19
994	3189	16
995	3191	12
996	3193	9
997	3194	6
998	3197	3
999	3199	0
